"ID","Latitude","Longitude","Country","Adm1","Adm2","Adm3","pH","Conductivity","CaCO3","Organic_matter","P","Sand","Lime","Clay","Soil_texture","Altitude"
767,-12.0318,-75.242,"Peru","Junin","Huancayo","San Agustin",8,0.8,10.94,2,20.1,42,34,24,"Loam",3210
1029,-12.0771,-76.952,"Peru","Lima","Lima","La Molina",7.5,2.98,0,1.1,20.7,48,32,20,"Loam",235
236,-12.0264,-75.2449,"Peru","Junin","Huancayo","San Agustin",6.5,0.24,0,2.14,13.9,38,42,20,"Loam",3208
759,-9.2835,-77.631,"Peru","Ancash","Carhuaz","Acopampa",5.3,0.24,0,0.89,25.8,58,30,12,"Sandy Loam",2740
71,-5.8939,-76.1069,"Peru","Loreto","Alto Amazonas","Yurimaguas",5.4,0.43,0,1.54,4.6,46,40,16,"Loam",146
839,-11.4063,-76.3354,"Peru","Junin","Yauli","Marcapomacocha",5.7,1.99,0,36.7,20.1,74,22,4,"Loamy Sand",4417
1082,-12.0771,-76.9485,"Peru","Lima","Lima","La Molina",7.55,3.07,0,2.3,16.4,46,32,22,"Loam",236
1603,-11.9994,-75.2218,"Peru","Junin","Huancayo","El Tambo",5.57,0.37,0,2.3,31.3,48,28,24,"Sandy Loam",3309
206,-11.1214,-75.3534,"Peru","Junin","Chanchamayo","San Ramon",5.6,0.64,0,2.08,38.9,66,24,10,"Sandy Loam",816
389,-12.0771,-76.952,"Peru","Lima","Lima","La Molina",7.4,4.5,0.38,0.9,10.9,58,32,10,"Sandy Loam",235
1317,-15.8392,-70.0292,"Peru","Puno","Puno","Puno",6.18,0.74,0,1,24.2,86,14,0,"Sand",3846
922,-12.0258,-75.2457,"Peru","Junin","Huancayo","San Agustin",7.8,0.39,0,1.18,11.7,40,36,24,"Loam",3209
278,-5.9275,-76.1341,"Peru","Loreto","Alto Amazonas","Yurimaguas",3.9,0.05,0,1.6,6.2,54,28,18,"Sandy Loam",155
722,-7.08,-78.34,"Peru","Cajamarca","Cajamarca","Encañada",4,0.18,0,2.65,74,38,40,22,"Loam",3175
529,-18.1817,-70.4736,"Peru","Tacna","Tacna","Tacna",7.4,5.65,0,0.62,20.5,66,26,8,"Sandy Loam",78
108,-5.8939,-76.1069,"Peru","Loreto","Alto Amazonas","Yurimaguas",4.8,0.5,0,2.11,5.6,34,38,28,"Clay Loam",146
1591,-12.0771,-76.9465,"Peru","Lima","Lima","La Molina",4.95,0.98,0,17.3,4.6,NA,NA,NA,NA,243
